,AdID,AdURL,AdText,HostedPage,Impressions,Currency,AdSpending,toxicity,identityAttack,insult,positivity
67,231521391464434,https://www.facebook.com/ads/archive/render_ad/?id=231521391464434&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Working families have a voice in Washington: Congresswoman Linda Sanchez.,Linda T. Sanchez,1999,USD,99,1,0,0,0
68,573049159997165,https://www.facebook.com/ads/archive/render_ad/?id=573049159997165&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Congresswoman Linda Sanchez has a record of solving problems and helping people. And she doesn't let anyone stand in the way.,Linda T. Sanchez,2999,USD,99,0,0,0,0
69,2677686225843504,https://www.facebook.com/ads/archive/render_ad/?id=2677686225843504&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"I'm honored to have such a broad coalition of progressive groups supporting me! I will fight for equitable representation and community-driven solutions in City Hall to take on our toughest issues, like housing affordability, the climate crisis, and workers' rights.",Julia DeGraw for Portland City Council,1999,USD,99,0,0,0,1
70,378558246382548,https://www.facebook.com/ads/archive/render_ad/?id=378558246382548&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"There's still time to vote in the Primary Election, but it's too late to mail your ballot. You can use one of Oregon's official ballot drop sites. Use this link to find drop box locations: ( https://sos.oregon.gov/voting/Pages/drop-box-locator.aspx ). 

Remember that all ballots must be received at the elections office or an official drop site by 8:00 p.m. on Tuesday the 19th. Postmarks do not count!

Important voting information: once you mark your ballot, just place it in the optional secrecy sleeve, seal it and place it in the return envelope, then drop it off. 
Make SURE to sign the return envelope after verifying your name and current residence address are correct. 

More voting info at this link: https://www.lanecounty.org/cms/one.aspx?pageId=4081147",Re-Elect Mayor Lucy Vinis,999,USD,99,0,0,1,1
71,321452815505198,https://www.facebook.com/ads/archive/render_ad/?id=321452815505198&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"We are live with Jeff Tittel, Director of the New Jersey Sierra Club! Join us as we discuss the importance of clean air and water, protecting our planet, and building a strong, clean energy future for generations to come. I'm proud to have the support of the Sierra Club and to be working alongside them and their countless members and supporters to safeguard our environment.",Josh Gottheimer for Congress,999,USD,99,0,0,0,1
72,270217064027050,https://www.facebook.com/ads/archive/render_ad/?id=270217064027050&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Help create the most progressive and unified platform the Democratic Party has ever seen. Vote for me as one of your male delegates to the Democratic National Convention.  I promise to fight for Progressive policies/push the party back to it's progressive roots, will work tirelessly to get elect Joe Biden, and defeat the danger of Trumpism in all its forms.  

I hope I can count on your support!  #BrickByBrick",Jared Schablein,999,USD,99,0,0,1,0
73,294985444841126,https://www.facebook.com/ads/archive/render_ad/?id=294985444841126&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"David and Wendy taking calls from family and friends following tonight’s 5th District Convention.  David is now the Republican nominee to take on Jahana Hayes in November.
Let's start the general election strong by donating at this link:
https://secure.anedot.com/sullivan-for-congress/davidxsullivanforuscongressweb?source_code=0514FB",David X. Sullivan,999,USD,99,0,0,0,0
74,244248986666074,https://www.facebook.com/ads/archive/render_ad/?id=244248986666074&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,,Jonathan Cable for Lincoln County District Attorney,999,USD,99,0,0,0,0
75,235509117710585,https://www.facebook.com/ads/archive/render_ad/?id=235509117710585&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,It never hurts to ask! Leon County is the perfect place for some innovative tech and production like this.,Scott Flowers - Candidate Leon County Commissioner At-Large,999,USD,99,0,0,0,0
77,241338333619030,https://www.facebook.com/ads/archive/render_ad/?id=241338333619030&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,PRESIDENT TRUMP MESSAGE ON REOPENING THE ECONOMY,Make America Social Again,999,USD,99,0,0,0,0
78,246306913255823,https://www.facebook.com/ads/archive/render_ad/?id=246306913255823&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"It’s time to focus on what matters. Let’s cut the fluff, while protecting the core services that we depend on. 
Matthew Durham, The Conservative Choice for Oconee County Council District 2. 
www.Durham4Oconee.com",Matthew Durham,999,USD,99,0,0,0,0
79,900739523756517,https://www.facebook.com/ads/archive/render_ad/?id=900739523756517&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Is it fair for Uber and Lyft to spend millions on a ballot measure that would change the law requiring they provide basic support for drivers - all while drivers are risking their lives on a daily basis? We say NO. Join the fight to demand corporations play by the same rules as everyone else.,"Protect Drivers, Not CEOs",999,USD,99,0,0,0,1
81,545408109703330,https://www.facebook.com/ads/archive/render_ad/?id=545408109703330&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Jennie Sherwood for Assembly District 2. Endorsed by the Las Vegas Sun and ready to fight for families across our district.,Jennie Sherwood for Nevada,999,USD,99,0,0,0,0
83,2596447913952094,https://www.facebook.com/ads/archive/render_ad/?id=2596447913952094&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,The Legislature needs a fresh start.  A few less talkers and a few more doers who haven’t forgotten why they are there – to put people first.,Karl Jaeger for Assembly District 89,999,USD,99,0,0,0,0
84,2965056683578467,https://www.facebook.com/ads/archive/render_ad/?id=2965056683578467&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Here are my thoughts on the Advertising Review process for Texas lawyers. Please take a couple of minutes to watch....Thank you.,Sylvia Borunda Firth For President-Elect of the State Bar of Texas,999,USD,99,0,0,0,0
85,656598884899659,https://www.facebook.com/ads/archive/render_ad/?id=656598884899659&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"House Democrats have a new stimulus proposal, the HEROES act which was just revealed on Tuesday. The bill would authorize over 3 trillion dollars of new spending measurs on top of the almost 3 trillion the U.S. Congress has already spent on the previous 2 stimulus packages. 

This bill is expected to get a vote Friday, 3 days after being released, with little to no debate on how this spending will actually benefit the economy. NO solutions on how to repay this borrowed money, NO infrastructure plan to generate jobs and update an aging infrastructure. Just more spending on top of the ONE TRILLION dollar annual budget deficit and Medicare/Social Security insolvency issue we already face. How is this acceptable for our seniors.

Current members of Congress need to awnser why this is acceptable. The members authorizing this spending will be retired and out of office when my generation will have to deal with their reckless spending. Its time for new leadership.

Please visit electdavis2020.com and learn why I decided to run for U.S. House of Representatives for Indiana District 2. Thank you for your continued support and please continue to share and invite your friends to the page. Please remember I WILL NOT ACCEPT ANY DONATIONS for this primary challenge, so if anyone is asking they are not with my campaign.",Christopher Davis For Congress,999,USD,99,0,0,1,0
86,1555515647946282,https://www.facebook.com/ads/archive/render_ad/?id=1555515647946282&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"While drivers like Inderpreet suffer, corporations profit. Uber and Lyft are spending millions to make it harder for drivers to earn a livable wage and get basic protections. We're standing up to say NO MORE.","Protect Drivers, Not CEOs",999,USD,99,0,0,0,1
87,962062580918146,https://www.facebook.com/ads/archive/render_ad/?id=962062580918146&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Join our fight to level the playing field between those who work to make ends meet and executives who only care about profits. We must protect drivers NOW.,"Protect Drivers, Not CEOs",999,USD,99,0,0,0,1
88,2681111955503745,https://www.facebook.com/ads/archive/render_ad/?id=2681111955503745&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"WAKE UP AMERICA 🚨 Once they take your Constitutional rights away, they are gone for good! Every American needs to understand how to protect their freedom and their rights NOW.

Get your FREE copy of the 2nd Amendment Handbook today (extremely limited supply)",Tactical Patriot,999,USD,99,0,0,0,1
89,240460090730812,https://www.facebook.com/ads/archive/render_ad/?id=240460090730812&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"KNOW YOUR RIGHTS so we don't end up like Canada. Every American gun owner needs to understand their constitutional rights and how to defend it NOW. 

Claim your FREE copy of the 2nd Amendment Handbook today -  available while supplies last, DON'T WAIT.",Tactical Patriot,999,USD,99,0,0,0,1
90,236220591015864,https://www.facebook.com/ads/archive/render_ad/?id=236220591015864&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Claim your FREE copy today! Just pay $3.95 for shipping - Only 100 free copies available. Don't miss out! 🇺🇸

This we'll defend.",Tactical Patriot,999,USD,99,0,0,0,1
91,272463430607884,https://www.facebook.com/ads/archive/render_ad/?id=272463430607884&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"STAND UP TO TYRANNY 👊 After what happened in Canada, every American gun owner needs to understand their constitutional rights NOW. 

Get your FREE copy of the 2nd Amendment Handbook today (extremely limited supply)",Tactical Patriot,999,USD,99,0,0,0,1
93,1452099324992066,https://www.facebook.com/ads/archive/render_ad/?id=1452099324992066&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Post-COVID Colorado: Why The State Senate Matters So Much,Arn Menconi,999,USD,99,0,0,1,1
94,1103362460021670,https://www.facebook.com/ads/archive/render_ad/?id=1103362460021670&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"CLAYTON COUNTY RESIDENTS: Ask yourself these THREE questions?

1) Have you mailed in your Absentee Ballot Application?

2) Did you check ☑️ KEISHA WRIGHT HILL for Chief Magistrate Judge on your Official Ballot?

3)Have you mailed your Official Ballot back to the Clayton County Board of Elections?

Tag me once you can say “YES” to all three questions! 😁

www.KeishaWrightHill.com
(678) 310-6088

#MaketheWRIGHTchoice
#KeishaWrightHill
#Support.Donate.Vote
#EveryVoterMatters
#EveryVoteCounts
#Homegrown
#ClaytonProud",Keisha Wright Hill for Chief Magistrate Judge,999,USD,99,0,0,0,1
95,244025366852829,https://www.facebook.com/ads/archive/render_ad/?id=244025366852829&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,So many local restaurants are doing a great job in feeding our families during this time.  Thank you!  Show love and shop local!,Jason Campbell for Delegate,999,USD,99,0,0,0,1
96,909727296161799,https://www.facebook.com/ads/archive/render_ad/?id=909727296161799&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,The ‘Campbell 4 Delegate’ puppy was spotted around the district this afternoon!   ~www.CampbellWV.com,Jason Campbell for Delegate,999,USD,99,0,0,0,1
98,3293528294011263,https://www.facebook.com/ads/archive/render_ad/?id=3293528294011263&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"""Jason Campbell protects the unborn and has the public policy experience to back it up!""",Jason Campbell for Delegate,999,USD,99,1,0,1,0
99,678952372650800,https://www.facebook.com/ads/archive/render_ad/?id=678952372650800&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Follow our page to stay involved in the fight to protect and support app-based workers, like Uber and Lyft drivers.","Protect Drivers, Not CEOs",999,USD,99,0,0,0,0
101,2765708047033956,https://www.facebook.com/ads/archive/render_ad/?id=2765708047033956&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"CLAYTON COUNTY RESIDENTS:
Only FOUR days until EARLY VOTING!!!
Exercise YOUR right to vote!

www.KeishaWrightHill.com
(678) 310-6088

#MaketheWRIGHTchoice
#KeishaWrightHill
#SupportDonateVote
#EveryVoterMatters
#EveryVoteCounts
#Homegrown
#ClaytonProud",Keisha Wright Hill for Chief Magistrate Judge,999,USD,99,0,0,0,1
